"iditem";"nombre";"saldo";"compromiso";"costo";"precio";"impuesto";"activo";"categoria";"estado";"idempresa";"casa"
"2123";"oferta bonbonbum x3 +6 unidades";"9550";"296";"25500";"31500";"1";"1";"92";"colombina";"3";"44"
"2124";"yogueta x24 sutido";"9866";"77";"5600";"8500";"1";"1";"84";"aldor";"3";"36"
"2125";"pinpop surtido x 24CJX18";"9643";"198";"6800";"8500";"1";"1";"84";"aldor";"3";"36"
"2126";"chocoballx50 CJX18";"10000";"216";"4300";"5500";"1";"0";"92";"Colombina";"3";"44"
"2127";"coffedelight x100 CJX18 duro";"9457";"270";"8500";"10500";"1";"1";"92";"Colombina";"3";"44"
"2128";"xtime surtidox100 CJX24";"9234";"845";"11000";"14000";"1";"1";"92";"Colombina";"3";"44"
"2129";"xtime menta x100 CJX24";"9936";"71";"11000";"14000";"1";"1";"92";"Colombina";"3";"44"
"2130";"xtime extrafuerte x100 CJX24";"9997";"19";"11000";"13800";"1";"0";"92";"Colombina";"3";"44"
"2131";"xtime yerba buena x100 CJX24";"9977";"14";"11500";"14000";"1";"1";"92";"Colombina";"3";"44"
"2132";"xtime sandia x100 CJX24";"9982";"16";"11000";"14000";"1";"1";"92";"Colombina";"3";"44"
"2133";"xtime canela x100 CJX24";"9943";"31";"11000";"14000";"1";"1";"92";"Colombina";"3";"44"
"2134";"coffedelight linea x12 CJX12";"10000";"0";"5100";"6600";"1";"0";"92";"Colombina";"3";"44"
"2135";"gelatina Fruit jelly repuesto x 25";"9826";"430";"12152";"15200";"1";"1";"92";"Colombina";"3";"44"
"2136";"lonja de bocadillo 250gr CJX30";"7690";"1653";"1450";"2000";"1";"1";"92";"karla";"3";"44"
"2137";"veleño karlaX36 CJX10";"9268";"437";"14150";"17700";"1";"1";"92";"karla";"3";"44"
"2138";" café papeleta 50gramos x10";"10000";"0";"7600";"8200";"1";"0";"83";;"3";"35"
"2139";"café 125gramos ";"10000";"0";"1990";"2150";"1";"0";"83";"aguila roja ";"3";"35"
"2140";"café 250gramos ";"10000";"0";"3850";"4200";"1";"0";"83";"aguila roja ";"3";"35"
"2141";"café 500gramos ";"10000";"0";"7200";"7900";"1";"0";"83";"aguila roja ";"3";"35"
"2142";"cafe 2500gramos";"10000";"10";"43376";"48000";"0";"0";"83";"aguila roja ";"3";"35"
"2143";"salsa de tomate fruko80g x12 CJX12";"7032";"3180";"18000";"18550";"1";"1";"126";"unilever";"3";"78"
"2144";"salsa mayonesa fruko 80gx12CJX12";"7754";"2759";"18000";"18550";"1";"1";"126";"unilever";"3";"78"
"2145";"salsa bbq fruko80g x12 CJX12";"9058";"830";"17400";"25700";"1";"1";"126";"unilever";"3";"78"
"2146";"salsa mostaza80gx12 CJX12";"9744";"90";"17500";"25700";"1";"1";"126";"unilever";"3";"78"
"2147";"salsa rosada 80gx12 CJX12";"9770";"305";"17400";"25700";"1";"1";"126";"unilever";"3";"78"
"2148";"salsa de tomate doy pack 120gramos X24";"3036";"4189";"1900";"2150";"1";"1";"126";"unilever";"3";"78"
"2149";"salsa de mayonesa doy pack 120gramos x24";"4464";"3837";"1900";"2150";"1";"1";"126";"unilever";"3";"78"
"2150";"maizena 90gramos";"7666";"1714";"2100";"3200";"1";"1";"126";"unilever";"3";"78"
"2151";"maizena 90gramos 12x13";"9318";"334";"25000";"38400";"1";"1";"126";"unilever";"3";"78"
"2152";"Maizena lotero mix x18 CJX18";"9316";"593";"24000";"30200";"1";"1";"126";"unilever";"3";"78"
"2153";"aromaticas salamanca frutos rojosx25sob CJX12";"8050";"1270";"3583";"4500";"1";"1";"119";"salamanca";"3";"71"
"2154";"aromaticas salamanca yerba buenax25 sob CJX12";"9734";"422";"3583";"4500";"1";"1";"119";"salamanca";"3";"71"
"2155";"aromaticas salamanca limonx25sob CJX12";"9101";"803";"3583";"4500";"1";"1";"119";"salamanca";"3";"71"
"2156";"aromaticas salamanca piñax25sob CJX12";"10000";"211";"2250";"3100";"1";"0";"119";"salamanca";"3";"71"
"2157";"aromaticas salamanca mandarinaX25CJX12";"9869";"156";"3000";"3750";"1";"0";"119";"salamanca";"3";"71"
"2158";"aromaticas salamanca naranjax25sob CJX12";"9758";"307";"3583";"4500";"1";"1";"119";"salamanca";"3";"71"
"2159";"aromaticas salamanca luloX25 CJX12";"9797";"166";"3583";"4500";"1";"1";"119";"salamanca";"3";"71"
"2160";"aromaticas salamanca manzanillax25sob X12";"9833";"260";"3000";"3750";"1";"0";"119";"salamanca";"3";"71"
"2161";"aromaticas salamanca cidron25sob X12";"9827";"167";"3583";"4500";"1";"1";"119";"salamanca";"3";"71"
"2162";"aromaticas salamanca surtidas X12";"9931";"47";"43000";"52000";"1";"1";"119";"salamanca";"3";"71"
"2163";"aromatica tradicional manzanillax20sob cjx24";"9589";"593";"1500";"1800";"1";"1";"124";"tizana";"3";"76"
"2164";"aromatica tradicional limonariax20sob cjx24";"9828";"134";"1500";"1800";"1";"1";"124";"tizana";"3";"76"
"2165";"aromatica tradicional toronjilx20sob cjx24";"9860";"104";"1500";"1800";"1";"1";"124";"tizana";"3";"76"
"2166";"aromatica tradicional yerba buenax20 cjx24";"9808";"119";"1500";"1800";"1";"1";"124";"tizana";"3";"76"
"2167";"aromatica tradicional albacax20sob cjx24";"9887";"121";"1500";"1800";"1";"1";"124";"tizana";"3";"76"
"2168";"aromatica tradicional cidronx20sob cjx24";"9834";"116";"1500";"1800";"1";"1";"124";"tizana";"3";"76"
"2169";"hojuelas azucaradas x100gramos";"9074";"3017";"900";"1200";"1";"0";"112";"nutrigal";"3";"64"
"2170";"chocoarrozx100gramos";"9211";"1932";"900";"1200";"1";"0";"112";"nutrigal";"3";"64"
"2171";"esferas frutalesx100gramos";"10000";"356";"900";"1000";"1";"0";"112";"nutrigal";"3";"64"
"2172";"esferas de chocolatex100gramos";"9994";"627";"900";"1000";"1";"0";"112";"nutrigal";"3";"64"
"2173";"anillos de coloresx100gramos";"9051";"2395";"900";"1200";"1";"0";"112";"nutrigal";"3";"64"
"2174";"granolax100gramos";"9418";"659";"900";"1200";"1";"0";"112";"nutrigal";"3";"64"
"2175";"hojuelas azucaradas x250gramos";"9742";"483";"2800";"4000";"1";"0";"112";"nutrigal";"3";"64"
"2176";"chocoarrozx250gramos";"9793";"315";"2800";"4000";"1";"0";"112";"nutrigal";"3";"64"
"2177";"esferas de chocolatex250gramos";"10000";"19";"2800";"3900";"1";"0";"112";"nutrigal";"3";"64"
"2178";"anillos de coloresx250gramos";"9701";"498";"2800";"4000";"1";"0";"112";"nutrigal";"3";"64"
"2179";"granolax250gramos";"9249";"943";"2800";"4000";"1";"0";"112";"nutrigal";"3";"64"
"2180";"hojuelas azucaradasx500gramos";"10000";"0";"4000";"5500";"1";"0";"112";"nutrigal";"3";"64"
"2181";"chocoarrozx500gramos";"10000";"7";"4000";"5200";"1";"0";"112";"nutrigal";"3";"64"
"2182";"anillos de colores x500gramos";"10000";"1";"4000";"5500";"1";"0";"112";"nutrigal";"3";"64"
"2183";"granolax500gramos";"10000";"63";"4000";"6200";"1";"0";"112";"nutrigal";"3";"64"
"2184";"granola ligth x500gramos";"10000";"3";"4000";"5200";"1";"0";"112";"nutrigal";"3";"64"
"2185";"paca de azucarx10";"9773";"348";"32000";"47000";"1";"1";"85";"azucar de colombia";"3";"37"
"2186";"azucar paquete";"9367";"311";"3200";"4800";"1";"1";"85";"azucar de colombia";"3";"37"
"2187";"advil max x20";"9816";"106";"35000";"46000";"1";"1";"111";"medicamentos ";"3";"63"
"2188";"advil ultra x20";"9749";"111";"35000";"46000";"1";"1";"111";"medicamentos ";"3";"63"
"2189";"advil gripa x20";"9824";"84";"35000";"46000";"1";"1";"111";"medicamentos ";"3";"63"
"2190";"advil fem x20";"10000";"0";"22000";"36000";"1";"0";"111";"medicamentos ";"3";"63"
"2191";"advil max x 10";"9749";"97";"18500";"23000";"1";"1";"111";"medicamentos ";"3";"63"
"2192";"advil ultra x 10";"9669";"130";"18500";"23000";"1";"1";"111";"medicamentos ";"3";"63"
"2193";"advil gripa x 10";"9796";"6";"19500";"23000";"1";"1";"111";"medicamentos ";"3";"63"
"2194";"advil fem x 10";"10000";"0";"11500";"18000";"1";"0";"111";"medicamentos ";"3";"63"
"2195";"noxpirin cápsula x 24";"9632";"190";"24000";"29500";"1";"1";"111";"medicamentos ";"3";"63"
"2196";"noxpirin cápsula x48";"9885";"84";"48000";"59000";"1";"1";"111";"medicamentos ";"3";"63"
"2197";"dolex fortex8";"10000";"8";"6960";"8700";"1";"0";"111";"medicamentos ";"3";"63"
"2198";"dolex forte x24";"10000";"3";"20880";"26100";"1";"0";"111";"medicamentos ";"3";"63"
"2199";"pax noche x24";"9790";"96";"51500";"60500";"1";"1";"111";"medicamentos ";"3";"63"
"2200";"pax dia x 24";"9944";"31";"51500";"60500";"1";"1";"111";"medicamentos ";"3";"63"
"2201";"pax noche x12";"9678";"146";"25750";"30500";"1";"1";"111";"medicamentos ";"3";"63"
"2202";"pax dia x 12";"9936";"37";"25750";"30500";"1";"1";"111";"medicamentos ";"3";"63"
"2203";"pax surtido x 24";"9791";"103";"51500";"60500";"1";"1";"111";"medicamentos ";"3";"63"
"2204";"alkaltserzerx60";"9911";"44";"38000";"48000";"1";"1";"111";"medicamentos ";"3";"63"
"2205";"alkaltserzerx30";"9681";"108";"19000";"24000";"1";"1";"111";"medicamentos ";"3";"63"
"2206";"bonfiestx20";"10000";"115";"40500";"56000";"1";"0";"111";"medicamentos ";"3";"63"
"2207";"bonfiest x 8 uni";"9800";"70";"22250";"28000";"1";"1";"111";"medicamentos ";"3";"63"
"2208";"sal de frutasx20";"10000";"84";"31000";"40800";"1";"0";"111";"medicamentos ";"3";"63"
"2209";"sal de frutas x13";"9722";"379";"29000";"37300";"1";"1";"111";"medicamentos ";"3";"63"
"2210";"calmidol max x48";"9999";"10";"38000";"62000";"1";"0";"111";"medicamentos ";"3";"63"
"2211";"calmidol max x24";"9991";"23";"19000";"31000";"1";"0";"111";"medicamentos ";"3";"63"
"2212";"calmidol compuesto x48";"9995";"12";"36000";"59000";"1";"0";"111";"medicamentos ";"3";"63"
"2213";"calmidol compuesto x 24";"9983";"16";"24000";"29500";"1";"0";"111";"medicamentos ";"3";"63"
"2214";"buscapina fem x24";"9869";"60";"33000";"42000";"1";"1";"111";"medicamentos ";"3";"63"
"2215";"buscapina compuesta x30";"9936";"35";"39000";"49000";"1";"1";"111";"medicamentos ";"3";"63"
"2216";"acetaminofemx100 unid";"9254";"265";"6500";"9500";"1";"1";"111";"medicamentos ";"3";"63"
"2217";"ibuprofeno x 800mg";"9338";"287";"10000";"13500";"1";"1";"111";"medicamentos ";"3";"63"
"2218";"curitasx100";"9761";"198";"4500";"5800";"1";"1";"111";"medicamentos ";"3";"63"
"2219";"tarrito rojo x8";"10000";"61";"6500";"8200";"1";"0";"111";"medicamentos ";"3";"63"
"2220";"noraver nochex6";"10000";"0";"5400";"7200";"1";"0";"111";"medicamentos ";"3";"63"
"2221";"sevedol x 24";"9560";"170";"28000";"35000";"1";"1";"111";"medicamentos ";"3";"63"
"2222";"sevedol x 12";"9823";"89";"14000";"17500";"1";"1";"111";"medicamentos ";"3";"63"
"2223";"bloqueador arawak X8";"9796";"265";"12500";"15500";"1";"0";"111";"medicamentos ";"3";"63"
"2224";"Vaselina pura x 12";"9450";"311";"2800";"3800";"1";"1";"111";"medicamentos ";"3";"63"
"2225";"vaselina colores x 12";"9925";"48";"3500";"4500";"1";"1";"111";"medicamentos ";"3";"63"
"2226";"crema de limon x12";"9916";"62";"2800";"3800";"1";"1";"111";"medicamentos ";"3";"63"
"2227";"manteca cacao";"9720";"233";"3000";"3800";"1";"1";"111";"medicamentos ";"3";"63"
"2228";"crema ponds rosada x 10";"9728";"191";"13500";"20000";"1";"1";"111";"medicamentos ";"3";"63"
"2229";"crema ponds azul x10";"9736";"193";"13500";"20000";"1";"1";"111";"medicamentos ";"3";"63"
"2230";"crema ponds roja x 10";"9749";"170";"13500";"20000";"1";"1";"111";"medicamentos ";"3";"63"
"2231";"gel ego alfax15";"10000";"86";"9000";"13800";"1";"0";"116";"quala";"3";"68"
"2232";"gel ego xtremex15";"10000";"0";"9000";"10000";"1";"0";"116";"quala";"3";"68"
"2233";"gel ego atraccionx15";"10000";"0";"9000";"10600";"1";"0";"116";"quala";"3";"68"
"2234";"speed stick gelx18";"8961";"647";"16500";"19800";"1";"1";"91";"colgate palmolive";"3";"43"
"2235";"speed crema duox18";"9998";"20";"19000";"23500";"1";"1";"91";"colgate palmolive";"3";"43"
"2236";"speed clinicalx18";"10000";"17";"8950";"13800";"1";"0";"91";"colgate palmolive";"3";"43"
"2237";"lady speed stick gelx18";"9647";"238";"16500";"19800";"1";"1";"91";"colgate palmolive";"3";"43"
"2238";"lady speed stick crema x18 duo";"9947";"43";"20000";"23500";"1";"1";"91";"colgate palmolive";"3";"43"
"2239";"lady clinicalx18";"10000";"20";"8950";"13800";"1";"0";"91";"colgate palmolive";"3";"43"
"2240";"rexona clinicalx20 hombre";"9642";"137";"12500";"20800";"1";"1";"126";"unilever";"3";"78"
"2241";"rexona clinicalx20 mujer";"9637";"199";"12500";"20800";"1";"1";"126";"unilever";"3";"78"
"2242";"colgate x75 triple accion X6";"9278";"653";"18333";"23000";"0";"1";"91";"colgate palmolive";"3";"43"
"2243";"colgate x 75 triple accion x12";"9735";"291";"36666";"45900";"1";"1";"91";"colgate palmolive";"3";"43"
"2244";"protex jabon avena";"9166";"529";"2500";"3300";"1";"1";"91";"colgate palmolive";"3";"43"
"2245";"protex jabon vitamina e";"9884";"122";"2500";"3300";"1";"1";"91";"colgate palmolive";"3";"43"
"2246";"protex jabon herbal";"9035";"318";"2500";"3300";"1";"1";"91";"colgate palmolive";"3";"43"
"2247";"protex jabon limpieza profunda";"9633";"207";"2500";"3300";"1";"1";"91";"colgate palmolive";"3";"43"
"2248";"protex jabon completo 12";"9959";"27";"2500";"3000";"1";"0";"91";"colgate palmolive";"3";"43"
"2249";"protex jabon duo proteccion";"9913";"15";"2500";"3000";"1";"0";"91";"colgate palmolive";"3";"43"
"2250";"protex jabon macadamia";"9705";"177";"2500";"3300";"1";"1";"91";"colgate palmolive";"3";"43"
"2251";"jabon dove x 4";"8286";"917";"12000";"18500";"1";"1";"126";"unilever";"3";"78"
"2252";"jabon jhonsons X12";"10000";"0";"17600";"21000";"1";"0";"102";"jhonson y jhonson";"3";"54"
"2253";"toallas nosotras x 10 rapigel";"9392";"607";"3500";"4900";"1";"1";"99";"familia";"3";"51"
"2254";"toallas nosotras x 10 tela";"9700";"399";"3458";"4350";"1";"1";"99";"familia";"3";"51"
"2255";"toallas nosotras x 30 rapigel";"9798";"274";"10000";"13700";"1";"1";"99";"familia";"3";"51"
"2256";"toallas nosotras x 30 tela";"9848";"170";"10000";"13700";"1";"1";"99";"familia";"3";"51"
"2257";"nosotras protectorx150";"9965";"0";"12500";"15500";"1";"1";"99";"familia";"3";"51"
"2258";"tapabocas azul x 50 unidades";"9165";"1371";"11250";"11000";"1";"1";"111";"medicamentos ";"3";"63"
"2259";"betun bowvy negro";"9543";"333";"3800";"4900";"1";"1";"88";"bowvy";"3";"40"
"2260";"betun bowvy azul";"9957";"20";"3800";"4900";"1";"1";"88";"bowvy";"3";"40"
"2261";"betun bowvy blanco";"9661";"274";"3800";"4900";"1";"1";"88";"bowvy";"3";"40"
"2262";"betun bowvy café";"9947";"40";"3800";"4900";"1";"1";"88";"bowvy";"3";"40"
"2263";"cuchilla dorco  x 12";"9480";"152";"11000";"14000";"1";"1";"96";"dorco";"3";"48"
