"id";"iddetalles";"accesorio";"cantidad";"ubicacion";"fecha_reg";"estado";"imagen"
"66";"694";"CABLE DE PODER";"1";"86H";"2024-07-05 08:43:48";"1";"0"
"67";"694";"BUS DE DATOS";"1";"86H";"2024-07-05 08:44:04";"1";"0"
"68";"694";"TORNILLO INTERIOR";"4";"87L";"2024-07-05 08:44:25";"1";"0"
"69";"23104";"CABLE DE PODER 1/4";"1";"86F";"2024-07-05 08:53:53";"1";"0"
"70";"23104";"BUS DE DATOS";"1";"86F";"2024-07-05 08:58:06";"1";"0"
"71";"23105";"CABLE DE PODER 1/4";"1";"86F";"2024-07-05 09:18:10";"1";"0"
"72";"23105";"BUS DE DATOS";"1";"86F";"2024-07-05 09:18:28";"1";"0"
"73";"23102";"CABLE DE PODER 1/4";"1";"86F";"2024-07-05 09:19:16";"1";"0"
"74";"23102";"BUS DE DATOS";"1";"86F";"2024-07-05 09:19:34";"1";"0"
"75";"28536";"CABLE DE PODER 1/4";"1";"86F";"2024-07-05 09:20:31";"1";"0"
"76";"28536";"BUS DE DATOS";"1";"86F";"2024-07-05 09:20:56";"1";"0"
"77";"23103";"CABLE DE PODER 1/4";"1";"86F";"2024-07-05 09:21:44";"1";"0"
"78";"23103";"BUS DE DATOS";"1";"86F";"2024-07-05 09:21:59";"1";"0"
"79";"23106";"CABLE DE PODER 1/4";"1";"86F";"2024-07-05 09:22:46";"1";"0"
"80";"23106";"BUS DE DATOS";"1";"86F";"2024-07-05 09:23:05";"1";"0"
"81";"23107";"CABLE DE PODER 1/2";"1";"86D";"2024-07-05 10:22:19";"1";"0"
"82";"23107";"BUS DE DATOS";"1";"86D";"2024-07-05 10:22:45";"1";"0"
"83";"23107";"EMPAQUE";"1";"86D";"2024-07-05 10:23:03";"1";"0"
"84";"23107";"TORNILLO EXTERIOR RGB";"6";"87L";"2024-07-05 10:23:49";"1";"0"
"85";"23107";"IMAN PARA TORNILLO RGB";"6";"87L";"2024-07-05 10:24:22";"1";"0"
"86";"18989";"CABLE DE PODER 1/2";"1";"82L";"2024-07-05 10:25:24";"1";"0"
"87";"18989";"BUS DE DATOS";"1";"82Z";"2024-07-05 10:25:42";"1";"0"
"88";"18989";"TORNILLO EXTERIOR";"6";"87L";"2024-07-05 10:26:37";"1";"0"
"89";"734";"CABLE DE PODER 1/2";"1";"82K";"2024-07-05 10:27:24";"1";"0"
"90";"734";"BUS DE DATOS";"1";"82H";"2024-07-05 10:27:52";"1";"0"
"91";"734";"EMPAQUE";"1";"86A";"2024-07-05 10:28:37";"1";"0"
"92";"734";"TORNILLO EXTERIOR";"6";"87L";"2024-07-05 10:29:03";"1";"0"
"93";"736";"CABLE DE PODER 1/2";"1";"82K";"2024-07-05 10:29:41";"1";"0"
"94";"736";"BUS DE DATOS";"1";"82H";"2024-07-05 10:30:00";"1";"0"
"95";"736";"EMPAQUE";"1";"82J";"2024-07-05 10:30:25";"1";"0"
"96";"736";"TORNILLO EXTERIOR";"6";"87L";"2024-07-05 10:30:44";"1";"0"
"97";"18990";"CABLE DE PODER 1/2";"1";"82L";"2024-07-05 10:31:31";"1";"0"
"98";"18990";"BUS DE DATOS";"1";"82Z";"2024-07-05 10:31:51";"1";"0"
"99";"18990";"TORNILLO EXTERIOR";"6";"87L";"2024-07-05 10:32:22";"1";"0"
"100";"28671";"1/2 CABLE DE PODER P4";"1";"82L";"2024-07-11 11:40:21";"1";"0"
"101";"28671";"BUS DE DATOS";"1";"82Z";"2024-07-11 11:40:38";"1";"0"
"102";"2048";"TAPA PLASTICA CON HUECO";"1";"017A11";"2024-07-16 16:35:32";"1";"0"
"103";"2048";"TAPA PLASTICA CIEGA";"1";"017A11";"2024-07-16 16:35:55";"1";"0"
"104";"2048";"CLIP ALUMINIO";"2";"017A11";"2024-07-16 16:36:09";"1";"0"
"105";"27571";"TAPA PLASTICA CON HUECO";"1";"017A11";"2024-07-16 16:37:00";"1";"0"
"106";"27571";"TAPA PLASTICA CIEGA";"1";"017A11";"2024-07-16 16:37:15";"1";"0"
"107";"27571";"CLIP ALUMINIO";"2";"017A11";"2024-07-16 16:37:38";"1";"0"
"108";"24067";"TAPA PLASTICA CON HUECO";"2";"017A07";"2024-07-16 16:38:31";"1";"0"
"109";"24067";"CLIP ALUMINIO";"2";"017A07";"2024-07-16 16:46:05";"1";"0"
"110";"2087";"TAPA PLASTICA CON HUECO";"1";"017A07";"2024-07-16 17:01:43";"1";"0"
"111";"2087";"TAPA PLASTICA CIEGA";"1";"017A07";"2024-07-16 17:02:07";"1";"0"
"112";"2087";"CLIP ALUMINIO";"2";"017A07";"2024-07-16 17:02:23";"1";"0"
"113";"20729";"TAPA PLASTICA CON HUECO";"2";"017A13";"2024-07-16 17:03:51";"1";"0"
"114";"24062";"TAPA ALUMINIO";"2";"87M";"2024-07-16 17:06:09";"0";"0"
"115";"24062";"CLIP ALUMINIO";"2";"87M";"2024-07-16 17:06:32";"0";"0"
"116";"24063";"TAPA ALUMINIO";"2";"85A";"2024-07-16 17:07:14";"0";"0"
"117";"24063";"CLIP ALUMINIO";"2";"85A";"2024-07-16 17:07:30";"0";"0"
"118";"20730";"TAPA PLASTICA CON HUECO";"2";"87M";"2024-07-16 17:08:30";"1";"0"
"119";"24038";"TAPA PLASTICA CON HUECO";"1";"017A02";"2024-07-16 17:09:49";"1";"0"
"120";"24038";"TAPA PLASTICA CIEGA";"1";"017A02";"2024-07-16 17:10:13";"1";"0"
"121";"24038";"CLIP ALUMINIO";"2";"017A02";"2024-07-16 17:10:28";"1";"0"
"122";"28342";"TAPA PLASTICA CON HUECO";"1";"017A07";"2024-07-16 17:13:07";"1";"0"
"123";"28342";"TAPA PLASTICA CIEGA";"1";"017A07";"2024-07-16 17:13:24";"1";"0"
"124";"28342";"CLIP ALUMINIO";"2";"017A07";"2024-07-16 17:13:40";"1";"0"
"125";"28343";"TAPA PLASTICA CON HUECO";"1";"017A07";"2024-07-16 17:14:24";"1";"0"
"126";"28343";"TAPA PLASTICA CIEGA";"1";"017A07";"2024-07-16 17:14:39";"1";"0"
"127";"2023";"TAPA PLASTICA CON HUECO";"1";"017A13";"2024-07-17 07:36:19";"1";"0"
"128";"2023";"TAPA PLASTICA CIEGA";"1";"017A13";"2024-07-17 07:36:41";"1";"0"
"129";"2023";"CLIP ALUMINIO";"2";"017A13";"2024-07-17 07:36:58";"1";"0"
"130";"2022";"TAPA PLASTICA CON HUECO";"1";"017A13";"2024-07-17 07:38:05";"1";"0"
"131";"2022";"TAPA PLASTICA CIEGA";"1";"017A13";"2024-07-17 07:38:26";"1";"0"
"132";"2022";"CLIP ALUMINIO";"2";"017A13";"2024-07-17 07:38:48";"1";"0"
"133";"2090";"TAPA PLASTICA CON HUECO";"2";"017A12";"2024-07-17 07:39:46";"1";"0"
"134";"2090";"CLIP ALUMINIO";"2";"017A12";"2024-07-17 07:40:12";"1";"0"
"135";"1974";"TAPA PLASTICA CON HUECO";"1";"017A12";"2024-07-17 07:47:06";"1";"0"
"136";"24262";"TAPA PLASTICA CIEGA";"1";"017A12";"2024-07-17 07:49:01";"1";"0"
"137";"22771";"TAPA PLASTICA CON HUECO";"1";"017A11";"2024-07-17 07:50:03";"1";"0"
"138";"22771";"CLIP ALUMINIO";"2";"017A11";"2024-07-17 07:51:19";"1";"0"
"139";"22771";"TAPA PLASTICA CIEGA";"1";"017A11";"2024-07-17 07:52:16";"1";"0"
"140";"2080";"TAPA PLASTICA CON HUECO";"2";"017A11";"2024-07-17 07:53:12";"1";"0"
